Sex,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Label
Male,Yes,2,Not Graduate,No,2889,0,45,180,0,Urban,N
Male,Yes,0,Graduate,No,19730,5266,570,360,1,Rural,N
Male,Yes,3,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
Male,Yes,3,Graduate,No,4106,0,40,180,1,Rural,Y
Male,Yes,0,Graduate,No,2499,2458,160,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,3276,484,135,360,,Semiurban,Y
Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
Male,Yes,0,Graduate,,63337,0,490,180,1,Urban,Y
Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,Y
Male,Yes,,Not Graduate,No,3523,3230,152,360,0,Rural,N
Male,Yes,0,Graduate,No,3000,3416,56,180,1,Semiurban,Y
Female,No,0,Not Graduate,No,2720,0,80,,0,Urban,N
Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,N
Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,Y
Male,Yes,3,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
Male,Yes,0,Graduate,No,2213,1125,,360,1,Urban,Y
Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y
Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
Male,Yes,,Graduate,No,5116,1451,165,360,0,Urban,N
,Yes,3,Graduate,No,23803,0,370,360,1,Rural,Y
Male,Yes,0,Graduate,No,20833,6667,480,360,,Urban,Y
,Yes,0,Graduate,No,16692,0,110,360,1,Semiurban,Y
Male,Yes,3,Graduate,No,81000,0,360,360,0,Rural,N
Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y
Male,No,2,Graduate,No,4354,0,136,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,6096,0,218,360,0,Rural,N
Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N
Male,No,0,Graduate,No,4683,1915,185,360,1,Semiurban,N
Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,Y
Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Y
Male,Yes,3,Graduate,No,3036,2504,158,360,0,Semiurban,N
Male,Yes,0,Graduate,No,10833,0,234,360,1,Semiurban,Y
